dimension,category,study_id
year,2026,U017
year,2026,U025
year,2026,U032
year,2026,U046
year,2026,U071
year,2026,U082
year,2026,U086
year,2026,U107
year,2026,U115
year,2026,U116
year,2026,U117
year,2026,U118
year,2026,U119
year,2026,U120
year,2026,U122
year,2026,U123
year,2026,U124
year,2026,U125
year,2026,U126
year,2026,U127
year,2026,U128
year,2026,U129
year,2026,U130
year,2026,U131
year,2026,U132
year,2026,U133
year,2026,U134
year,2026,U135
year,2026,U136
year,2026,U137
year,2026,U140
year,2026,U141
year,2026,U142
year,2026,U145
year,2026,U146
year,2026,U147
year,2026,U148
year,2026,U149
year,2026,U153
year,2026,U154
year,2026,U155
year,2026,U156
year,2026,U157
year,2026,U158
year,2026,U159
year,2026,U160
year,2026,U162
year,2026,U163
year,2026,U165
year,2026,U166
year,2026,U190
year,2026,U192
year,2026,U193
year,2026,U194
year,2026,U195
year,2026,U196
year,2026,U197
year,2026,U198
year,2026,U199
year,2026,U200
year,2026,U201
year,2026,U202
year,2026,U203
year,2026,U204
year,2026,U206
year,2026,U207
year,2026,U208
year,2026,U209
year,2026,U210
year,2026,U211
year,2026,U212
year,2026,U213
year,2026,U214
year,2026,U215
year,2026,U216
year,2026,U217
year,2026,U219
year,2026,U220
year,2026,U221
year,2026,U222
year,2026,U223
year,2026,U224
year,2026,U225
year,2026,U226
year,2026,U227
year,2026,U229
year,2026,U230
year,2026,U231
year,2026,U232
year,2026,U233
year,2026,U234
year,2026,U235
year,2026,U236
year,2026,U237
year,2026,U238
year,2026,U239
year,2025,SN001
year,2025,SN002
year,2025,SN003
year,2025,SN004
year,2025,SN005
year,2025,SN006
year,2025,SN007
year,2025,SN008
year,2025,SN010
year,2025,SN011
year,2025,SN012
year,2025,SN013
year,2025,SN014
year,2025,SN015
year,2025,SN016
year,2025,SN017
year,2025,U009
year,2025,U018
year,2025,U020
year,2025,U026
year,2025,U029
year,2025,U042
year,2025,U043
year,2025,U051
year,2025,U054
year,2025,U055
year,2025,U057
year,2025,U058
year,2025,U059
year,2025,U062
year,2025,U064
year,2025,U066
year,2025,U068
year,2025,U069
year,2025,U073
year,2025,U075
year,2025,U077
year,2025,U078
year,2025,U088
year,2025,U091
year,2025,U092
year,2025,U094
year,2025,U096
year,2025,U097
year,2025,U098
year,2025,U099
year,2025,U100
year,2025,U102
year,2025,U104
year,2025,U105
year,2025,U106
year,2025,U108
year,2025,U109
year,2025,U110
year,2025,U111
year,2025,U167
year,2025,U169
year,2025,U171
year,2025,U172
year,2025,U173
year,2025,U174
year,2025,U175
year,2025,U176
year,2025,U177
year,2025,U178
year,2025,U179
year,2025,U180
year,2025,U181
year,2025,U182
