dimension,category,study_count,study_denominator,study_fraction,label_assignment_denominator,assignment_fraction
year,2026,96,228,0.42105263157894735,228,0.42105263157894735
year,2025,73,228,0.3201754385964912,228,0.3201754385964912
year,2024,42,228,0.18421052631578946,228,0.18421052631578946
year,2023,14,228,0.06140350877192982,228,0.06140350877192982
year,2022,2,228,0.008771929824561403,228,0.008771929824561403
year,2021,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,arXiv,41,228,0.17982456140350878,228,0.17982456140350878
venue,ICSE,29,228,0.12719298245614036,228,0.12719298245614036
venue,ASE,21,228,0.09210526315789473,228,0.09210526315789473
venue,FSE,19,228,0.08333333333333333,228,0.08333333333333333
venue,ISSTA,16,228,0.07017543859649122,228,0.07017543859649122
venue,TSE,16,228,0.07017543859649122,228,0.07017543859649122
venue,TOSEM,14,228,0.06140350877192982,228,0.06140350877192982
venue,ICST,6,228,0.02631578947368421,228,0.02631578947368421
venue,JSS,5,228,0.021929824561403508,228,0.021929824561403508
venue,ICLR,4,228,0.017543859649122806,228,0.017543859649122806
venue,IST,4,228,0.017543859649122806,228,0.017543859649122806
venue,SANER,4,228,0.017543859649122806,228,0.017543859649122806
venue,ACL,3,228,0.013157894736842105,228,0.013157894736842105
venue,AST,3,228,0.013157894736842105,228,0.013157894736842105
venue,EMSE,3,228,0.013157894736842105,228,0.013157894736842105
venue,ICPC,3,228,0.013157894736842105,228,0.013157894736842105
venue,ISSRE,3,228,0.013157894736842105,228,0.013157894736842105
venue,AITest,2,228,0.008771929824561403,228,0.008771929824561403
venue,COMPSAC,2,228,0.008771929824561403,228,0.008771929824561403
venue,EASE,2,228,0.008771929824561403,228,0.008771929824561403
venue,EMNLP,2,228,0.008771929824561403,228,0.008771929824561403
venue,FORGE,2,228,0.008771929824561403,228,0.008771929824561403
venue,NAACL,2,228,0.008771929824561403,228,0.008771929824561403
venue,NeurIPS,2,228,0.008771929824561403,228,0.008771929824561403
venue,APSEC,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,ASYU,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,AUSE,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,COLM,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,DeepTest,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,Expert Systems,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,FCS,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,FGCS,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,FaSE4Games,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,ICIC,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,ICML,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,Internetware,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,JCAL,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,JCL,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,LLM4Code,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,OOPSLA,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,QRS,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,SAST,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,SBES,1,228,0.0043859649122807015,228,0.0043859649122807015
venue,SCAM,1,228,0.0043859649122807015,228,0.0043859649122807015
ccf,A,126,228,0.5526315789473685,228,0.5526315789473685
ccf,Not applicable (preprint),41,228,0.17982456140350878,228,0.17982456140350878
ccf,B,28,228,0.12280701754385964,228,0.12280701754385964
ccf,C,17,228,0.07456140350877193,228,0.07456140350877193
ccf,Not listed in CCF,15,228,0.06578947368421052,228,0.06578947368421052
ccf,Not verified,1,228,0.0043859649122807015,228,0.0043859649122807015
language,Java,139,228,0.6096491228070176,274,0.5072992700729927
language,Python,80,228,0.3508771929824561,274,0.291970802919708
language,C++,12,228,0.05263157894736842,274,0.043795620437956206
language,Go,8,228,0.03508771929824561,274,0.029197080291970802
language,C,7,228,0.03070175438596491,274,0.025547445255474453
language,JavaScript,6,228,0.02631578947368421,274,0.021897810218978103
language,Rust,5,228,0.021929824561403508,274,0.01824817518248175
language,C#,4,228,0.017543859649122806,274,0.014598540145985401
language,Kotlin,2,228,0.008771929824561403,274,0.0072992700729927005
language,Ruby,2,228,0.008771929824561403,274,0.0072992700729927005
language,Verilog,2,228,0.008771929824561403,274,0.0072992700729927005
language,Fortran,1,228,0.0043859649122807015,274,0.0036496350364963502
language,Julia,1,228,0.0043859649122807015,274,0.0036496350364963502
language,PHP,1,228,0.0043859649122807015,274,0.0036496350364963502
language,Smalltalk,1,228,0.0043859649122807015,274,0.0036496350364963502
language,SystemVerilog,1,228,0.0043859649122807015,274,0.0036496350364963502
