study_id,publication_year,title,venue,ccf_2026,languages,tasks,task_subcategories,study_types,models,strategies,strategy_parents,integrated_techniques,generation_metrics,benchmarks,training_datasets,tool_names,source_links,artifact_links,code_availability_group,code_audit_date
U002,2021,Unit Test Case Generation with Transformers and Focal Context,arXiv,Not applicable (preprint),Java,Test Generation,,Approach;Dataset,BART,Pre-training;Full FT,Model Training,Program Analysis;Program Repair,Syntax Rate;Compile Rate;Pass Rate;Correct Rate;Line Coverage;Condition Coverage;Readability;Code Coverage;Focal-method Testing Rate,"Methods2Test
Defects4J",Methods2Test task training; BART English/Java pretraining corpus (see original §2). Defects4J is evaluation.,AthenaTest,https://arxiv.org/pdf/2009.05617,https://github.com/microsoft/methods2test,Partial implementation or auxiliary code,2026-09-22
U004,2023,CAT-LM Training Language Models on Aligned Code And Tests,ASE,A,Java;Python,Test Generation;Test Augmentation;Test Completion,,Approach,CAT-LM,Pre-training;Other prompting,Model Training;Prompting Engineering,Program Analysis,Exact Match;ROUGE;CodeBLEU;Compilable Test Count;Passing Test Count;Coverage (unspecified);Qualitative Readability;Code Coverage,"Custom GitHub Python/Java projects held out from CAT-LM pretraining
TeCo test set","CAT-LM GitHub Python/Java code-test corpus, approximately 14M files; held-out projects are evaluation.",CAT-LM,https://arxiv.org/pdf/2310.01602,https://github.com/RaoNikitha/CAT-LM,Partial implementation or auxiliary code,2026-09-22
U005,2022,TOGA: A Neural Method for Test Oracle Generation,ICSE,A,Java,Test Oracle Generation,Whole Oracle Generation,Approach,CodeBERT,Full FT,Model Training,Program Analysis;SBST Tools,Not applicable (task does not include Test Generation),"Methods2Test*
ATLAS*
Original ATLAS (grammar analysis)
Defects4J",Methods2Test* exceptional-oracle data and ATLAS* assertion data; Defects4J is evaluation.,TOGA,https://arxiv.org/pdf/2109.09262,https://github.com/microsoft/toga,Verified implementation or experimental code,2026-09-22
U006,2023,Identify and Update Test Cases When Production Code Changes: A Transformer-Based Approach,ASE,A,Java,Test Evolution,,Approach,CodeT5,Full FT,Model Training,Program Analysis,Not applicable (task does not include Test Generation),Custom Java production-test co-evolution dataset,Self-mined Java production/test co-evolution corpus; 90/10 random and chronological partitions.,CEPROT,https://xing-hu.github.io/assets/papers/ASE2023CEPROT.pdf,https://github.com/CEPROTest/CEPROT,Verified implementation or experimental code,2026-09-22
U007,2023,Prompting Code Interpreter to Write Better Unit Tests on Quixbugs Functions,arXiv,Not applicable (preprint),Python,Test Generation,,Empirical,ChatGPT Code Interpreter (backend unconfirmed),Zero-shot,Prompting Engineering,Not coded into the listed integration categories,Output Format Success;Correct Rate;Correct Fault-revealing Test Rate;Test Count;Differential-input Rate,QuixBugs Python subset,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2310.00483,https://drive.google.com/file/d/1a5gz7bOJRLWLr5dcCDk6vIMrKEhgxjcK/view?usp=drive_link,Accessible author code not verified,2026-09-22
U008,2023,Learning deep semantics for test completion,ICSE,A,Java,Test Completion;Test Oracle Generation,Assertion Oracle Generation,Approach,CodeT5,Full FT,Model Training,Program Analysis;Information Retrieval,Not applicable (task does not include Test Generation),TeCo Java test-completion corpus (CodeSearchNet project split),"TeCo Java test-completion corpus, project split derived from CodeSearchNet; 64 held-out projects are evaluation.",TECO,https://www.cs.utexas.edu/~ml/papers/nie.icse23.pdf,https://github.com/EngineeringSoftware/teco,Verified implementation or experimental code,2026-09-22
U009,2025,Reinforcement Learning from Automatic Feedback for High-Quality Unit Test Generation,DeepTest,Not listed in CCF,C#,Test Generation; Test Smell Detection,,Approach,Codex,Full FT;RL;Zero-shot,Model Training;Prompting Engineering,Program Analysis,Syntax Rate;Assertion Presence;Focal-call Presence;Comment Presence;Descriptive-name Presence;Test Smells,Custom C# GitHub corpus,"Custom C# GitHub corpus, repository-separated held-out split; training subset details in §IV-A.",RLSQM,https://arxiv.org/html/2412.14308v1,https://doi.org/10.6084/m9.figshare.25983166,Partial implementation or auxiliary code,2026-09-22
U010,2023,An initial investigation of ChatGPT unit test generation capability,SAST,Not listed in CCF,Java,Test Generation,,Empirical,GPT-3.5,Zero-shot,Prompting Engineering,Program Repair,Pass Rate;Statement Coverage;Mutation Score;Program-without-successful-suite Rate;Code Coverage,"33 Java algorithm/data-structure programs reused from Araujo & Vincenzi2020; Max, sorting, lists/stacks/queues, graphs, pattern matching, etc.","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://repositorio.ufscar.br/server/api/core/bitstreams/a05e89b4-b1ef-40fe-a42a-95cad4a0f5f8/content,https://github.com/vitor0x5/initial-investigation-chatgpt-unit-tests,Verified implementation or experimental code,2026-09-22
U011,2022,Generating Accurate Assert Statements for Unit Test Cases using Pretrained Transformers,AST,Not listed in CCF,Java,Test Oracle Generation,Assertion Oracle Generation,Approach,BART,Pre-training;Full FT,Model Training,SBST Tools,Not applicable (task does not include Test Generation),"ATLAS raw Test-Assert Pairs
Defects4J Lang-1-f (NumberUtils)","ATLAS raw test-assert training pairs (150,523); Java repositories used in pretraining (26,000).",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2009.05634,,Accessible author code not verified,2026-09-22
U012,2023,Exploring the Capability of ChatGPT in Test Generation,QRS,C,Java,Test Generation,,Empirical,GPT-3.5,Zero-shot,Prompting Engineering,Execution/Coverage Feedback;Mutation Testing,Syntax Rate;Pass Rate;Branch Coverage;Mutation Score;Code Coverage,"Gomoku
MTree
ITree
GSpan
CoverTree (National Student Contest of Software Testing final-round projects)","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://reu.techconf.org/document/01-Publications/Exploring%20the%20Capability%20of%20ChatGPT%20in%20Test%20Generation.pdf,,Accessible author code not verified,2026-09-22
